tumor,signal,Signature_3_ml,Signature_3_c,Signature_3_l_rat,Signature_3_wl,rat_sig3,Signature_other_c4_ml,exp_sig3,total_snvs,Signature_3_c1_ml,Signature_3_c2_ml,Signature_3_c3_ml,Signature_3_c4_ml
PD23560,1,0.800548595,0.354557252,0.426217731,0.998961596,0.179429951,0.034453355,1.61486956,9,0.270711602,0.090331191,0.211660194,0.227845608
PD23562,1,0.884721946,0.257852992,0.860091313,0.838885054,0.355654939,0.027002332,2.48958457,7,0.369027522,0.233589258,0.056271291,0.225833876
PD23563,1,0.993906079,0.509127916,0.95134013,0.99999957,1.004337259,0.000563276,18.07807065,18,0.312009728,0.509455215,0.000765845,0.171675291
PD23565,0,0.146764851,0.400379729,0,0.991166155,0,6.12E-07,0,19,1.13E-05,1.02E-08,0.146748192,5.35E-06
PD23566,1,0.996389721,0.43090696,0.986697034,0.999965165,0.433077178,5.33E-05,8.661543554,20,0.257175106,0.651503989,0.000106504,0.087604122
PD23567,1,0.718626597,0.246893966,0,0.729427515,0,0.031676209,0,7,0.166411839,0.361672125,0.005629768,0.184912864
PD23574,1,0.979754755,0.404134109,0.704102576,0.246250459,0.327116603,0.00465208,7.196565269,22,0.425383608,0.218368968,0.004934758,0.331067422
PD24182,1,0.762081213,0.420864006,0.592056444,0.999739027,0.131186728,0.003474743,2.754921285,21,0.3784744,0.088113875,0.021219771,0.274273167
PD24186,1,0.827934457,0.344821113,0.535214368,0.985161467,0.135226343,0.006028606,1.352263429,10,0.362237894,0.196323751,0.042054675,0.227318138
PD24190,0,0.208024864,0.336422467,0.553137874,0.966628123,0.304899004,0.002800862,3.048990039,10,0.06388273,0.082222143,0.003760945,0.058159046
PD24191,1,0.377126633,0.28297687,0,0.647377968,0,0.037088507,0,11,0.119716437,0.043591616,0.075441366,0.138377214
PD24192,1,0.996329209,0.544660589,0.889528817,0.999999843,1.08534655,0.000293701,21.70693099,20,0.388477035,0.41583122,0.000532046,0.191488908
PD24194,0,0.717920672,0.430688433,0,0.999655346,0,3.44E-06,0,21,0.000122355,2.79E-07,0.71772421,7.38E-05
PD24196,1,0.385281036,0.253002343,0,0.638685711,0,0.113545402,0,7,0.111893878,0.110569617,0.03013961,0.13267793
